region,year,subsidy_main,subsidy_secondary,subsidy_third,subsidy_col_4,subsidy_col_5,subsidy_col_6,subsidy_col_7,subsidy_col_8,subsidy_col_9,subsidy_col_10
Ненецкий АО,2019,11100000025.0,25.0,47988500.0,,,6221.0,35.0,,,
Ненецкий АО,2020,22200000000.0,50.0,84354200.0,22750483.87,14105300.0,31395667.740000002,28210595.8,31395660.97,28210591.6,8645181.3
Нижегородская область,2016,66000000765.0,3387.0876,41578967.8934,111571152.9996,50949992.022,60625508.8054,36796298.423358,39512325.11663249,97419138.21345349,50441656.307109
Нижегородская область,2017,66000000590.0,3049.2966,1486562286.5608,389804984.406002,370315831.696601,19492796.670202,370314381.1357851,1487.9632183899998,389804985.53468037,370315831.6965761
Нижегородская область,2018,66000000708.0,2463405975.0,2505223200.0,3472793608.0,4290334058.0,2135332208.0,3037684413.42,1259040512.66,3477238339.17,4290270247.04
Нижегородская область,2019,66000000708.0,2273.4966999999997,1328073829.7399,356011795.7483707,263450395.21883535,92570944.32367069,263448976.0926583,258936.42690097,356011934.6675905,263450636.01353022
Нижегородская область,2020,66000000826.0,2622.0625999999997,2779278789.9488,439965062.138337,325576285.411874,554355998.898437,651144666.8917155,554353439.5758182,651143188.7919788,114394004.25257392
Нижегородская область,2021,22000001121.0,3881.59588,2399.39474,4239.67847077,6294.59681175,2882.01820536,3972.9235749399995,2310.4288983200004,4234.4356715799995,6221.7591815999995
Нижегородская область,2022,22000001062.0,2763.049,1885.8259000000003,3260.5569011899997,4890.32126081,2442.33380119,3034.37748343,1886.1648667700003,3287.24459179,4890.32032824
Нижегородская область,2023,1180.0,6839.353699999999,0.0,8053.60597509,6831.846599999999,1221.75937509,6831.7975754399995,26.53474201,8053.55443867,6831.797563049999
Нижегородская область,2024,1003.0,5782.5342,0.0,6921.74623584,5556.5489,1365.19733584,5554.2699255200005,52.05342347,6918.751649690001,5554.26978452
Новгородская область,2016,147000000403.0,1403.5920999999998,11632194.5064,29926517.4597,16259833.8228,13668301.374,15859102.4606,3737648.182762,29526458.005245,16126632.380582
Новгородская область,2017,147000000310.0,1207.1336000000001,595287695.2871,300674922.25372297,236553255.635296,64123103.40722299,235657059.9769248,594.8640976,299536503.53952235,235657617.1256079
Новгородская область,2018,147000000372.0,866111593.0,889993400.0,1257036774.09,1555578250.03,767857074.0899999,1108826864.11,466012557.48,1276019976.98,1551400973.8
Новгородская область,2019,147000000372.0,779.2271999999999,419635668.3171,68481698.32987,52731376.106935,15757582.73777,52730959.274935,70572.01040515001,68481732.98936068,52731456.395135
Новгородская область,2020,147000000434.0,1034.0945000000002,1213058534.5304,146432882.9863999,112754283.05292678,180112123.4237999,225506048.52252677,180111872.98875552,225506064.4447554,33680937.17480989
